Time	Ticks	Date	Temperature	Shutter	Lichtmenge	ThermoBad	TempExt	SollTemp	TempablMz	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffsLipp
Time	100 ns ticks since 1.1.0001	Date	Temperature	Shutter	Lichtmenge	Temperatur_Thermostatbad	Temperatur_Extern	Solltemperatur	TemperaturableitungMesszelle	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffset to Spectrometer
s			°C		W/cm²	°C		°C	K/s	Vs	sec		Pa	Pa	Pa	Pa	Vs	sec		Pa	Pa	Pa	Pa	s
0	6.338756987995561E+17	03.09.2009 10:17:59.955	20.01	0	-2E-10	19.79	27.047	20	4.58733421523834E-06	6.27536560111165E-09	2.82257518526958E-05	3.9809790905565E-05					4.45058160563361E-08	2.84022215674639E-05	4.69951555714943E-06					-0.0418252
30.001	6.3387569909954944E+17	03.09.2009 10:18:29.954	20.02	0	-2E-10	19.78	27.213	20	1.20215855068343E-05															-0.0401539
60.002	6.3387569939953549E+17	03.09.2009 10:18:59.953	20.02	0	-2E-10	19.78	27.344	20	1.7878340498518E-05	6.26710713902465E-09	2.82257414950933E-05	4.13771012972575E-05					4.44817459070138E-08	2.81974108198428E-05	3.71282703781617E-06					-0.0372634
90.002	6.33875699699522E+17	03.09.2009 10:19:29.952	20.01	0	-2E-10	19.77	27.343	20	4.48446089566644E-06	6.26432801283156E-09	2.82257695605531E-05	3.93630580219906E-05					4.44668534873188E-08	2.81974314349929E-05	2.3415932446369E-06					-0.0343669
120.003	6.338756999995049E+17	03.09.2009 10:19:59.950	20.01	0	-2E-10	19.77	27.4	20	-7.87705129725654E-07	6.2613475485176E-09	2.82257894482426E-05	4.02380283048842E-05					4.44544484185729E-08	2.81974469483257E-05	3.04525565297809E-06					-0.0314779
150.004	6.3387570029949082E+17	03.09.2009 10:20:29.949	20.01	0	-2E-10	19.78	27.442	20	-2.12700547323974E-06	6.26060094715789E-09	2.82257917323793E-05	3.88793996535242E-05					4.44439286667883E-08	2.81974513876451E-05	3.96999212171067E-06					-0.0285844
180.005	6.3387570059947187E+17	03.09.2009 10:20:59.947	20.01	0	-2E-10	19.78	27.51	20	-8.64734016666408E-06	6.25868988532203E-09	2.8225797677376E-05	4.10592620028183E-05					4.44373643839228E-08	2.81974543640291E-05	2.64846926256723E-06					-0.0415051
210.006	6.3387570089946125E+17	03.09.2009 10:21:29.946	20.01	0	-2E-10	19.77	27.535	20	-3.05161730008976E-06	6.25895921631652E-09	2.82257945968089E-05	4.05094251618721E-05					4.44302878440677E-08	2.81974575638361E-05	3.9853712223703E-06					-0.0386056
240.006	6.3387570119944371E+17	03.09.2009 10:21:59.944	20.01	0	-2E-10	19.76	27.555	20	-5.87255991171693E-07	6.25943318605681E-09	2.82257898615753E-05	4.20173528254963E-05					4.44278902701168E-08	2.81974557065103E-05	5.22112941325759E-06					-0.0359044
270.007	6.3387570149942963E+17	03.09.2009 10:22:29.942	20.01	0	-2E-10	19.78	27.621	20	-4.46911808241993E-06	6.25712802960402E-09	2.82257916869661E-05	4.01166616939008E-05					4.44132724624162E-08	2.81974577678311E-05	3.16343607664749E-06					-0.0175703
300.008	6.3387570179940928E+17	03.09.2009 10:22:59.940	20	0	-2E-10	19.77	27.616	20	-3.08095545747909E-05	6.25589227562933E-09	2.82257954329454E-05	3.98966694774572E-05					4.44043898205981E-08	2.81974593764772E-05	7.13109693606384E-06					-0.030492
330.009	6.3387570209940083E+17	03.09.2009 10:23:29.940	20.01	0	-2E-10	19.76	27.675	20	-2.29663274547326E-05	6.25519122289369E-09	2.82257999668554E-05	4.2698644392658E-05					4.44007089636735E-08	2.81974565341471E-05	2.35400625570037E-06					-0.0278594
