SampleName="Teflon" SampleThickness=0.000926 SampleArea=0.00229022104446696, TimeOfStart=2023-06-06T15:35:45.3310266+02:00
Time	Voltage	Current	Conductivity
s	V	A	S/m
0	0	1.09E-14	
1.0003086	0	-4.33507352941173E-14	
2.0007582	0	-5.62458410351205E-16	
3.0003036	0	-4.7446153846154E-15	
4.0009994	0	-3.33358490566043E-15	
5.0002951	0	1.81661090909091E-14	
6.0003840	0	-7.85589251439535E-15	
7.0014651	0	-2.71536170212765E-14	
8.0014841	0	-3.57636053130927E-14	
9.0003685	0	-1.50706715063521E-14	
10.0016161	0	-1.68500000000002E-15	
11.0014534	498.997995991984	2.37599999999999E-14	1.92522379394124E-17
12.0000885	500	4.36928752399233E-13	3.53324868531071E-16
13.0017966	500	2.22029999999999E-12	1.79545795805794E-15
14.0007346	500	1.09629918604652E-12	8.86528441201492E-16
15.0011594	500	8.83635897435898E-13	7.14557088716373E-16
16.0012874	500	8.85855303030297E-13	7.16351823408362E-16
17.0001644	500	8.40984483394843E-13	6.80066785260788E-16
18.0005797	500	8.14269907063208E-13	6.58463894358306E-16
19.0010079	500	7.62347238805976E-13	6.16476339556679E-16
20.0008129	500	6.90656439688714E-13	5.58503175662331E-16
21.0008293	500	6.56388582375473E-13	5.30792282035951E-16
22.0007975	500	5.77824685714292E-13	4.67261149541981E-16
23.0018214	500	5.7910526508226E-13	4.68296697178401E-16
24.0014977	500	5.8929862847223E-13	4.7653961724231E-16
25.0006776	500	5.27500399999997E-13	4.26566135683803E-16
26.0016658	500	5.44539073359074E-13	4.40344553770235E-16
27.0009859	500	4.98209999999999E-13	4.02880290629217E-16
28.0008452	500	4.46569305019309E-13	3.61120755087749E-16
29.0015230	500	4.79834912621362E-13	3.88021173904458E-16
30.0000582	500	4.07884758220498E-13	3.29838280915884E-16
31.0019223	500	4.38251830443158E-13	3.54394782958444E-16
32.0001335	500	4.09970564202337E-13	3.31524979537268E-16
33.0006369	500	4.24623629629636E-13	3.43374262486143E-16
34.0007314	500	3.79595203094778E-13	3.0696177464178E-16
35.0016766	500	3.84898672897197E-13	3.11250455028247E-16
36.0000061	500	3.52459318181815E-13	2.85018190209079E-16
37.0003625	500	4.00454632867133E-13	3.23829868676517E-16
38.0013500	500	3.68303939393944E-13	2.9783103137817E-16
39.0014626	500	4.23539224806205E-13	3.424973524875E-16
40.0007488	500	3.32691824953444E-13	2.69033096740749E-16
41.0014343	500	3.62469593023254E-13	2.93113054698747E-16
42.0005051	500	3.40045380228138E-13	2.74979590159642E-16
43.0002934	500	3.22592921568624E-13	2.60866562285975E-16
44.0017570	500	3.28212077669905E-13	2.65410524155819E-16
45.0008342	500	3.45258055009827E-13	2.79194848647032E-16
46.0015314	500	3.43427637362634E-13	2.77714671224511E-16
