Segment;Temperature(°C);Sigma T(°C);Pressure(bar);Sigma p(bar);corr.Weight(g);corr.Weightdiff.(g);Sigma delta m(g);Density(g/cm³);DensityCorr(g/cm³);
1;25.17;0.01;0.01;0.00;11.256270;-0.000010;0.000017;0.000315;0;
2;25.10;0.02;2.58;0.00;11.255400;-0.000880;0.000008;0.000670;0.000356;
3;25.17;0.01;5.21;0.00;11.254520;-0.001757;0.000008;0.001172;0.000857;
4;25.24;0.01;7.85;0.00;11.253630;-0.002645;0.000007;0.001602;0.001287;
5;25.23;0.01;10.46;0.00;11.252760;-0.003517;0.000006;0.002022;0.001707;
6;25.20;0.01;13.09;0.00;11.251880;-0.004398;0.000013;0.002439;0.002124;
7;25.19;0.01;15.80;0.00;11.250980;-0.005296;0.000005;0.002881;0.002567;
8;25.17;0.01;18.33;0.00;11.250140;-0.006140;0.000005;0.003292;0.002978;
9;25.18;0.01;21.06;0.00;11.249250;-0.007031;0.000006;0.003729;0.003414;
10;25.19;0.01;23.59;0.00;11.248420;-0.007863;0.000007;0.004132;0.003817;
11;25.19;0.01;26.31;0.00;11.247510;-0.008768;0.000007;0.004564;0.004249;
12;25.20;0.01;28.92;0.00;11.246660;-0.009618;0.000018;0.004981;0.004666;
13;25.21;0.01;31.57;0.01;11.245790;-0.010491;0.000013;0.005403;0.005088;
14;25.19;0.02;34.16;0.00;11.244960;-0.011325;0.000008;0.005808;0.005493;
15;25.19;0.01;36.81;0.00;11.243980;-0.012302;0.000007;0.006289;0.005974;
16;25.17;0.01;39.45;0.00;11.243120;-0.013162;0.000011;0.006702;0.006387;
17;25.17;0.01;42.05;0.00;11.242290;-0.013995;0.000010;0.007112;0.006797;
18;25.18;0.02;44.66;0.00;11.241450;-0.014827;0.000014;0.007518;0.007203;
19;25.20;0.01;47.33;0.00;11.240600;-0.015678;0.000007;0.007936;0.007621;
20;25.19;0.01;49.92;0.00;11.239780;-0.016502;0.000008;0.008345;0.008030;
